2025-12-16 17:19:23,675 | INFO | app | ✅ Logging initialized
2025-12-16 17:19:23,679 | INFO | root | ✅ Startup complete
2025-12-16 17:19:23,680 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:22:37,902 | INFO | uvicorn.error | Shutting down
2025-12-16 17:22:38,012 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 17:22:38,012 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:22:38,013 | INFO | uvicorn.error | Finished server process [9536]
2025-12-16 17:22:40,473 | INFO | app | ✅ Logging initialized
2025-12-16 17:22:40,477 | INFO | root | ✅ Startup complete
2025-12-16 17:22:40,477 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:23:49,475 | INFO | uvicorn.error | Shutting down
2025-12-16 17:23:49,586 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 17:23:49,586 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 17:23:49,587 | INFO | uvicorn.error | Finished server process [18380]
2025-12-16 17:23:52,276 | INFO | app | ✅ Logging initialized
2025-12-16 17:23:52,281 | INFO | root | ✅ Startup complete
2025-12-16 17:23:52,282 | INFO | uvicorn.error | Application startup complete.
2025-12-16 17:41:59,865 | INFO | uvicorn.access | 127.0.0.1:57274 - "GET /leads HTTP/1.1" 200
2025-12-16 18:04:44,733 | INFO | uvicorn.error | Shutting down
2025-12-16 18:04:44,871 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 18:04:44,912 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 18:04:44,918 | INFO | uvicorn.error | Finished server process [10888]
2025-12-16 18:04:49,252 | INFO | app | ✅ Logging initialized
2025-12-16 18:04:49,273 | INFO | root | ✅ Startup complete
2025-12-16 18:04:49,274 | INFO | uvicorn.error | Application startup complete.
2025-12-16 18:07:59,864 | INFO | uvicorn.error | Shutting down
2025-12-16 18:07:59,975 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 18:07:59,996 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 18:08:00,002 | INFO | uvicorn.error | Finished server process [10344]
2025-12-16 18:08:02,627 | INFO | app | ✅ Logging initialized
2025-12-16 18:08:02,631 | INFO | root | ✅ Startup complete
2025-12-16 18:08:02,631 | INFO | uvicorn.error | Application startup complete.
2025-12-16 18:08:21,496 | INFO | uvicorn.error | Shutting down
2025-12-16 18:08:21,604 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 18:08:21,605 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 18:08:21,605 | INFO | uvicorn.error | Finished server process [3860]
2025-12-16 18:08:24,275 | INFO | app | ✅ Logging initialized
2025-12-16 18:08:24,279 | INFO | root | ✅ Startup complete
2025-12-16 18:08:24,279 | INFO | uvicorn.error | Application startup complete.
2025-12-16 18:09:48,785 | INFO | uvicorn.error | Shutting down
2025-12-16 18:09:48,897 | INFO | uvicorn.error | Waiting for application shutdown.
2025-12-16 18:09:48,898 | INFO | uvicorn.error | Application shutdown complete.
2025-12-16 18:09:48,898 | INFO | uvicorn.error | Finished server process [7448]
2025-12-16 18:09:51,342 | INFO | app | ✅ Logging initialized
2025-12-16 18:09:51,347 | INFO | root | ✅ Startup complete
2025-12-16 18:09:51,347 | INFO | uvicorn.error | Application startup complete.
